time,id,x1,y1,x2,y2,
2017-07-07 11:16:02.790971,0,798,168,881,232,
2017-07-07 11:16:02.827217,0,795,168,877,230,
2017-07-07 11:16:02.865815,0,793,170,873,230,
2017-07-07 11:16:02.902248,0,787,170,869,229,
2017-07-07 11:16:02.939358,0,786,170,864,227,
2017-07-07 11:16:02.976731,0,783,168,860,227,
2017-07-07 11:16:03.011679,0,777,170,852,226,
2017-07-07 11:16:03.047304,0,774,168,849,225,
2017-07-07 11:16:03.087157,0,770,171,845,223,
2017-07-07 11:16:03.123139,0,769,171,842,225,
2017-07-07 11:16:03.156745,0,766,171,840,225,
2017-07-07 11:16:03.189705,0,766,172,833,222,
2017-07-07 11:16:03.223190,0,762,171,826,223,
2017-07-07 11:16:03.254215,0,755,172,821,222,
2017-07-07 11:16:03.290459,0,755,172,821,222,
2017-07-07 11:16:03.391340,0,722,172,770,213,
2017-07-07 11:16:03.424623,0,718,170,767,210,
2017-07-07 11:16:03.561970,0,720,172,763,213,
2017-07-07 11:16:03.627827,0,712,168,762,212,
2017-07-07 11:16:03.692629,0,710,170,757,209,
2017-07-07 11:16:03.856481,0,705,168,750,206,
2017-07-07 11:16:03.954452,0,704,168,749,209,
2017-07-07 11:16:04.018859,0,701,168,745,209,
2017-07-07 11:16:04.050833,0,701,168,745,208,
2017-07-07 11:16:04.084884,0,700,171,742,208,
2017-07-07 11:16:04.116556,0,703,171,745,208,
2017-07-07 11:16:04.212630,0,698,171,739,206,
2017-07-07 11:16:29.225123,0,234,175,281,206,
2017-07-07 11:16:29.289201,0,232,174,277,205,
2017-07-07 11:16:29.354589,0,227,175,272,206,
2017-07-07 11:16:29.389379,0,225,177,272,208,
2017-07-07 11:16:29.452642,0,222,177,268,208,
2017-07-07 11:16:29.551055,0,217,175,262,206,
2017-07-07 11:16:29.678710,0,210,175,257,206,
2017-07-07 11:16:29.742650,0,205,175,254,208,
2017-07-07 11:16:29.774814,0,202,175,251,208,
2017-07-07 11:16:29.807570,0,202,177,247,208,
2017-07-07 11:16:29.838786,0,199,177,244,209,
2017-07-07 11:16:29.871257,0,198,175,244,208,
2017-07-07 11:16:29.903356,0,194,177,244,209,
2017-07-07 11:16:29.936040,0,192,175,241,209,
2017-07-07 11:16:29.970350,0,191,174,239,208,
2017-07-07 11:16:30.003896,0,187,175,236,210,
2017-07-07 11:16:30.036042,0,184,174,236,210,
2017-07-07 11:16:30.068248,0,181,174,233,208,
2017-07-07 11:16:30.102716,0,180,172,229,208,
2017-07-07 11:16:30.137485,0,175,174,227,208,
2017-07-07 11:16:30.169535,0,174,172,227,209,
2017-07-07 11:16:30.202178,0,170,171,225,209,
2017-07-07 11:16:30.233222,0,170,171,223,209,
2017-07-07 11:16:30.265444,0,168,174,220,209,
2017-07-07 11:16:30.297711,0,165,174,219,210,
2017-07-07 11:16:30.329556,0,160,174,215,210,
2017-07-07 11:16:30.660393,0,132,174,182,213,
2017-07-07 11:16:30.692489,0,126,175,182,215,
2017-07-07 11:16:30.726044,0,123,174,180,215,
2017-07-07 11:16:31.185545,0,70,172,135,219,
2017-07-07 11:16:31.283685,0,53,174,118,222,
2017-07-07 11:16:31.316144,0,52,177,115,222,
2017-07-07 11:16:31.350376,0,47,172,115,222,
